LOCATION_ID,LAT,LON,LOCATION,TOTAL_CARS,AREA_CODE
4029,43.7572339969224,-79.5177309991266,FINCH AVE AT JANE ST (PX 534),89745,NO
4030,43.7431219962732,-79.5141430006484,JANE ST AT RITA DR & STANLEY RD (PX 1077),12838,NO
4031,43.6620770033688,-79.3530849949957,DUNDAS ST AT MUNRO ST (PX 1117),9167,SO
4032,43.6563209983055,-79.4524529944193,BLOOR ST W AT DUNDAS ST W (PX 327),105777,SO
4033,43.659940492,-79.453683916,DUNDAS ST AT GLENLAKE AVE,18800,SO
4034,43.663046663,-79.456427569,DUNDAS ST AT HUMBERSIDE AVE,16242,SO
4036,43.653346000658,-79.3961640055043,DUNDAS ST AT HURON ST (PX 1273),13835,SO
4037,43.6552400007205,-79.3860600004801,CHESTNUT ST AT DUNDAS ST (PX 483),20295,SO
4038,43.6385239967894,-79.5380109947048,AUKLAND RD AT DUNDAS ST (PX 1350),21228,WE
4039,43.6452110014344,-79.531982005081,DUNDAS ST AT ROYALAVON CR (PX 1306),11756,WE
4040,43.6467730036529,-79.5305530021208,DUNDAS ST AT MABELLE AVE (PX 1847),19779,WE
4041,43.7081030005441,-79.5319699979315,KNOB HILL DR AT OAK ST (PX 1595),10503,WE
4042,43.7322010042452,-79.2679310030551,EGLINTON AVE AT KENNEDY RD (PX 460),58675,EA
4043,43.7374530016478,-79.2701310028799,BERTRAND AVE AT KENNEDY RD (PX 1057),13364,EA
4044,43.7494969990482,-79.2749339946496,KENNEDY RD AT LAWRENCE AVE (PX 412),136980,EA
4045,43.7532269975695,-79.2762870001521,KENNEDY RD AT WICKWARE GT & MARIGOLD PLAZA (PX 959),18323,EA
4046,43.761298362,-79.279457741,BRIGSTOCK RD AT KENNEDY RD,36807,EA
4047,43.7658020018831,-79.2810779945309,ELLESMERE RD AT KENNEDY RD (PX 696),145949,EA
4048,43.7694209974081,-79.2822569975367,GLAMORGAN AVE AT KENNEDY RD & PROGRESS AVE (PX 692),107779,EA
4049,43.7772530035375,-79.2855579940141,KENNEDY RD AT MTO DRIVEWAY & VILLAGE GREEN SQ (PX 1592),85739,EA
4050,43.7832860020415,-79.2882629959488,KENNEDY RD AT SHEPPARD AVE (PX 752),167975,EA
4051,43.808913234,-79.300469353,KENNEDY RD AT PERTHSHIRE ST,13801,EA
4052,43.8236890021031,-79.3070659963315,KENNEDY RD AT STEELES AVE (PX 1192),200842,EA
4054,43.6780899962053,-79.3149860027181,BOWMORE RD AT GERRARD ST (PX 366),10963,SO
4055,43.7648130042837,-79.5013269942794,MURRAY ROSS PKWY AT SENTINEL RD (PX 1615),15731,NO
4056,43.6710460012671,-79.3831599997752,BLOOR ST E AT CHURCH ST (PX 25),107153,SO
4058,43.6619839983533,-79.4256589977268,BLOOR ST W AT OSSINGTON AVE (PX 341),43411,SO
4059,43.6671609973633,-79.4015380020784,BLOOR ST W AT HURON ST (PX 1401),20505,SO
4060,43.6680329989976,-79.3973799986413,BEDFORD RD AT BLOOR ST (PX 510),32625,SO
4061,43.6320410036915,-79.5751589995812,BLOOR ST AT MILL RD (PX 924),25713,WE
4062,43.6327839987116,-79.5734239979359,BLOOR ST AT FORESTVIEW RD & MAPLEDAWN RD (PX 1835),22174,WE
4065,43.685150777,-79.315271762,DANFORTH AVE AT EAST LYNN AVE & WOODMOUNT AVE,22118,SO
4067,43.6907939981632,-79.2902759939336,DANFORTH AVE AT THYRA AVE (PX 1850),12407,SO
4068,43.721143003649,-79.4809030054127,HIGHWAY 401 S TCS AT KEELE ST (PX 595),61757,NO
4069,43.7244430004485,-79.4815900059447,HIGHWAY 401 N TCS AT KEELE ST (PX 596),240210,NO
4070,43.6616590025705,-79.4629580025015,HUMBERSIDE AVE AT KEELE ST (PX 1729),9681,SO
4071,43.6700329969516,-79.4665069995812,KEELE ST AT WEST TORONTO ST (PX 1757),44538,SO
4072,43.6725340044784,-79.4676229982737,ST CLAIR AVE W AT KEELE ST & WESTON RD (PX 493),150577,SO
4073,43.6849140025685,-79.4728110055541,DONALD AVE AT KEELE ST (PX 590),18859,WE
4074,43.717868998473,-79.4801239985106,KEELE ST AT RUSTIC RD (PX 1319),21248,NO
4075,43.7447770044339,-79.4864519947699,KEELE ST AT SHEPPARD AVE (PX 600),133238,NO
4076,43.7545120034179,-79.4887619977545,KEELE ST AT ST REGIS CRES (PX 1215),32394,NO
4077,43.7635019997785,-79.4910530008597,FINCH AVE AT KEELE ST (PX 601),58964,NO
4078,43.7673120024929,-79.4920470059442,KEELE ST AT MURRAY ROSS PKWY & TANGIERS RD (PX 1450),47475,NO
4079,43.7752130003641,-79.4940480001791,KEELE ST AT CANARCTIC DR & YORK BLVD (PX 956),47025,NO
4080,43.6383240008297,-79.4535050055402,LAKE SHORE BLVD AT PARKSIDE DR (PX 226),58946,SO
4081,43.6737749963123,-79.3682040061856,BLOOR ST E AT CASTLE FRANK RD (PX 295),143978,SO
4082,43.6806010009996,-79.4664529986213,KANE AVE AT LAVENDER RD & OLD WESTON RD (PX 1605),6875,WE
4083,43.676573953,-79.463889603,OLD WESTON RD AT ROCKWELL AVE,27825,SO
